,GSS_NM,lat,lon
0,Hartlepool,54.6857276,-1.2093696
1,Middlesbrough,54.5760419,-1.2344047
2,Redcar and Cleveland,54.5679056,-1.0054963165760897
3,Stockton-on-Tees,54.564094,-1.3129164
4,Darlington,54.5242081,-1.5555812
5,Halton,53.35385255,-2.7427828785393507
6,Warrington,53.4018582,-2.5680223597163048
7,Blackburn with Darwen,53.699176949999995,-2.4709000953138327
8,Blackpool,53.824548300000004,-3.037319995021968
9,"Kingston upon Hull, City of",53.7435722,-0.3394758
10,East Riding of Yorkshire,53.873596500000005,-0.5347787525091569
11,North East Lincolnshire,53.53680335,-0.09368101348534888
12,North Lincolnshire,53.589744100000004,-0.6023230295256561
13,York,53.9590555,-1.0815361
14,Derby,52.9212617,-1.4761491
15,Leicester,52.6361398,-1.1330789
16,Rutland,52.6423036,-0.6632643077026672
17,Nottingham,52.9534193,-1.1496461
18,"Herefordshire, County of",52.083333,-2.75
19,Telford and Wrekin,52.72144515,-2.500862391509079
20,Stoke-on-Trent,53.0162014,-2.1812607
21,Bath and North East Somerset,51.35632375,-2.486661424502094
22,"Bristol, City of",51.4538022,-2.5972985
23,North Somerset,51.39663045,-2.769128923864108
24,South Gloucestershire,51.54919165,-2.4809528173453836
25,Plymouth,50.3712659,-4.1425658
26,Torbay,50.446247,-3.539499814193785
27,Swindon,51.5613683,-1.7856853
28,Peterborough,52.5725769,-0.2427336
29,Luton,51.89107295,-0.4230304076201782
30,Southend-on-Sea,51.54063195,0.7161146725194144
31,Thurrock,51.5080169,0.3962817395437666
32,Medway,51.4157386,0.5687308512408333
33,Bracknell Forest,51.4002688,-0.7417888011413043
34,West Berkshire,51.44631345,-1.2758819554702914
35,Reading,51.45149525,-0.9836342499365378
36,Slough,51.50342695,-0.5748721523852964
37,Windsor and Maidenhead,51.4803412,-0.6769505204283354
38,Wokingham,51.4570846,-0.8865370303212372
39,Milton Keynes,52.0429797,-0.7589607
40,Brighton and Hove,50.845221249999994,-0.14975850541139246
41,Portsmouth,50.8036831,-1.075614
42,Southampton,50.9025349,-1.404189
43,Isle of Wight,50.6710482,-1.3327111133199459
44,County Durham,54.666667,-1.75
45,Cheshire East,53.1673422,-2.2928802778613573
46,Cheshire West and Chester,53.16379785,-2.7285361135416943
47,Shropshire,52.65233935,-2.64356407027027
48,Cornwall and Isles of Scilly,49.87163645,-6.4034597229910695
49,Wiltshire,51.324162,-1.9032486699002247
50,Bedford,52.1363806,-0.4675041
51,Central Bedfordshire,51.99803275,-0.47915142854055964
52,Northumberland,55.25,-2.000559
53,"Bournemouth, Christchurch and Poole",50.744673199999994,-1.8579577396350433
54,Dorset,50.79683685,-2.34473226124306
55,Bolton,53.5782863,-2.4300367
56,Bury,52.2460367,0.7125173
57,Manchester,53.4794892,-2.2451148
58,Oldham,53.5415797,-2.1147831
59,Rochdale,53.6153659,-2.1557561
60,Salford,53.4877463,-2.2891921
61,Stockport,53.407901,-2.160243
62,Tameside,53.4786454,-2.0770211633705165
63,Trafford,53.41893605,-2.359297161165271
64,Wigan,53.5457188,-2.6264624
65,Knowsley,53.4552358,-2.8546852
66,Liverpool,53.407154,-2.991665
67,St. Helens,53.4535471,-2.7343231
68,Sefton,53.5034122,-2.9714708
69,Wirral,53.3409714,-3.0500916
70,Barnsley,53.5527719,-1.4827755
71,Doncaster,53.5227681,-1.1335312
72,Rotherham,53.4310417,-1.355187
73,Sheffield,53.3806626,-1.4702278
74,Newcastle upon Tyne,54.9738474,-1.6131572
75,North Tyneside,55.02979945,-1.5082559996141889
76,South Tyneside,54.969874250000004,-1.4476805465645368
77,Sunderland,54.9058512,-1.3828727
78,Birmingham,52.4796992,-1.9026911
79,Coventry,52.4081812,-1.510477
80,Dudley,52.5110832,-2.0816813
81,Sandwell,52.5151278,-2.013562373718973
82,Solihull,52.4130189,-1.7768935
83,Walsall,52.5847949,-1.9822687
84,Wolverhampton,52.5847651,-2.127567
85,Bradford,53.7944229,-1.7519186
86,Calderdale,53.720474800000005,-1.9622886329676708
87,Kirklees,53.64226345,-1.7809432689150708
88,Leeds,53.7974185,-1.5437941
89,Wakefield,53.6829541,-1.4967286
90,Gateshead,54.9625789,-1.6019294
91,Barking and Dagenham,51.5541171,0.15050434261994267
92,Barnet,51.65309,-0.2002261
