,GSS_NM,lat,lon
7041,Barking and Dagenham,51.5541171,0.15050434261994267
7042,Barnet,51.65309,-0.2002261
7043,Barnsley,53.5527719,-1.4827755
7044,Bath and North East Somerset,51.35632375,-2.486661424502094
7045,Bedford,52.1363806,-0.4675041
7046,Bexley,51.4416793,0.150488
7047,Birmingham,52.4796992,-1.9026911
7048,Blackburn with Darwen,53.699176949999995,-2.4709000953138327
7049,Blackpool,53.824548300000004,-3.037319995021968
7050,Bolton,53.5782863,-2.4300367
7051,"Bournemouth, Christchurch and Poole",50.744673199999994,-1.8579577396350433
7052,Bracknell Forest,51.4002688,-0.7417888011413043
7053,Bradford,53.7944229,-1.7519186
7054,Brent,51.4416354,0.2345194
7055,Brighton and Hove,50.845221249999994,-0.14975850541139246
7056,"Bristol, City of",51.4538022,-2.5972985
7057,Bromley,51.4028046,0.0148142
7058,Buckinghamshire,51.7834994,-0.8946440535649794
7059,Bury,52.2460367,0.7125173
7060,Calderdale,53.720474800000005,-1.9622886329676708
7061,Cambridgeshire,52.333333,0.083333
7062,Camden,51.5423045,-0.1395604
7063,Central Bedfordshire,51.99803275,-0.47915142854055964
7064,Cheshire East,53.1673422,-2.2928802778613573
7065,Cheshire West and Chester,53.16379785,-2.7285361135416943
7066,City of London,51.5156177,-0.0919983
7067,Cornwall and Isles of Scilly,49.87163645,-6.4034597229910695
7068,County Durham,54.666667,-1.75
7069,Coventry,52.4081812,-1.510477
7070,Croydon,51.3713049,-0.101957
7071,Cumbria,54.6143136,-2.9420983340597866
7072,Darlington,54.5242081,-1.5555812
7073,Derby,52.9212617,-1.4761491
7074,Derbyshire,53.1185033,-1.5566179305872212
7075,Devon,50.724165,-3.660795843955193
7076,Doncaster,53.5227681,-1.1335312
7077,Dorset,50.79683685,-2.34473226124306
7078,Dudley,52.5110832,-2.0816813
7079,Ealing,51.5126553,-0.3051952
7080,East Riding of Yorkshire,53.873596500000005,-0.5347787525091569
7081,East Sussex,50.9404529,0.3699899035008595
7082,Enfield,51.6520851,-0.0810175
7083,Essex,51.77046785,0.46466977412300386
7084,Gateshead,54.9625789,-1.6019294
7085,Gloucestershire,51.8333313,-2.1666674
7086,Greenwich,51.4820845,-0.0045417
7087,Hackney,51.5432402,-0.0493621
7088,Halton,53.35385255,-2.7427828785393507
7089,Hammersmith and Fulham,51.4920377,-0.2236401
7090,Hampshire,51.04483545,-1.2434093603442158
